OID_,lease_id,grow_area_name,grow_area_desc,cmu_name,rainfall_thresh_in,latitude,longitude
221,C204,,,,4,32.678562239999998,-79.961444569999998
108,C207,,,,4,32.675661890000001,-79.927171110000003
54,C209,,,,4,32.694321979999998,-79.914370070000004
55,C210,,,,4,32.693585550000002,-79.953814390000005
50,C215,,,,4,32.683392619999999,-79.988582589999993
53,C216,,,,4,32.669309320000004,-80.003306289999998
222,C230,,,,4,32.783341180000001,-79.811003180000000
90,C245,,,,4,32.821605970000000,-79.792638190000005
209,C253,,,,4,32.802671340000003,-79.818601139999998
208,C256,,,,4,32.846864369999999,-79.754963020000005
87,C257,,,,4,32.833883770000000,-79.734026290000003
81,C261,,,,4,32.844874650000001,-79.721762880000000
82,C263,,,,4,32.875431540000001,-79.722373399999995
80,C264,,,,4,32.887458019999997,-79.706218879999994
79,C267,,,,4,32.891306170000000,-79.661161079999999
77,C268,,,,4,32.903758099999997,-79.688759880000006
74,C270-1,,,,4,32.909873070000003,-79.663911470000002
75,C270-2,,,,4,32.903688629999998,-79.672036680000005
76,C271,,,,4,32.923499749999998,-79.667826849999997
72,C273,,,,4,32.901593429999998,-79.637536400000002
70,C277,,,,4,32.923375210000003,-79.623298469999995
67,C278,,,,4,32.977905960000001,-79.610604890000005
63,C282,,,,4,33.022972000000003,-79.568979429999999
231,C284,,,,4,32.997802759999999,-79.551559720000000
60,C287,,,,4,33.033891130000001,-79.548321830000006
61,C288,,,,4,33.049550379999999,-79.532107049999993
62,C294,,,,4,33.022337399999998,-79.492523489999996
59,C296,,,,4,33.040336920000001,-79.489451340000002
36,C298,,,,4,33.039031410000000,-79.434217320000002
33,C301,,,,4,33.019549800000000,-79.415420659999995
32,C302,,,,4,33.015110040000003,-79.392512179999997
150,C304,,,,4,33.035043240000000,-79.358650209999993
31,C305,,,,4,33.035322930000000,-79.404039010000005
205,C307,,,,4,33.041282289999998,-79.393784710000006
30,C311,,,,4,33.057209239999999,-79.438718840000007
29,C312,,,,4,33.067562700000003,-79.446930010000003
26,C322,,,,4,33.079023429999999,-79.381486359999997
184,C328,,,,4,33.078601440000000,-79.352149479999994
34,C330,,,,4,33.067982219999998,-79.340314960000001
14,C352,,,,4,33.521160600000002,-79.053473449999998
10,C356,,,,4,33.524959000000003,-79.043623100000005
7,C359,,,,4,33.541058309999997,-79.040984879999996
224,C362,,,,4,33.550370080000000,-79.033802120000004
6,C370,,,,4,33.559147099999997,-79.019193439999995
5,C371,,,,4,33.553944780000002,-79.026740599999997
4,C372,,,,4,33.565727910000000,-79.017041699999993
225,C373,,,,4,33.547669589999998,-79.040328570000000
122,G001-1,,,,4,32.151212389999998,-80.914844860000002
123,G001-2,,,,4,32.140961179999998,-80.945782800000003
124,G001-3,,,,4,32.156193219999999,-80.906776850000000
125,G001-4,,,,4,32.196754060000004,-80.874973690000004
174,G005-1,,,,4,32.142541489999999,-80.917738569999997
175,G005-2,,,,4,32.189568170000001,-80.971135039999993
176,G006-1,,,,4,32.221460149999999,-80.940435219999998
177,G006-2,,,,4,32.223128199999998,-80.932861180000003
199,G126,,,,4,32.529272089999999,-80.609355410000006
113,G141,,,,4,32.522101919999997,-80.398873769999994
238,G160,,,,4,32.513983690000003,-80.350042250000001
119,G164,,,,4,32.632224880000003,-80.382497650000005
107,G170,,,,4,32.782126810000001,-80.100485840000005
235,G190,,,,4,32.600528920000002,-80.214538340000004
44,G219,,,,4,32.785181880000003,-79.845043529999998
88,G246,,,,4,32.830229750000001,-79.780069970000000
45,G247,,,,4,32.782972649999998,-79.830484159999997
43,G253,,,,4,32.795354029999999,-79.829654120000001
83,G259,,,,4,32.860081559999998,-79.742355029999999
58,G291,,,,4,33.058522040000000,-79.507848620000004
27,G318,,,,4,33.083675339999999,-79.421168039999998
17,G344,,,,4,33.336155079999997,-79.180009760000004
3,G388,,,,4,33.837494260000000,-78.623320809999996
299,M009-1,,,,4,32.152312049999999,-80.848361850000003
300,M009-2,,,,4,32.164143619999997,-80.852823099999995
301,M010-1,,,,4,32.178800369999998,-80.799773049999999
302,M010-2,,,,4,32.179966839999999,-80.800823370000003
282,M048,,,,4,32.273041749999997,-80.744920080000000
246,M064-1,,,,4,32.298232370000001,-80.681512040000001
247,M064-2,,,,4,32.316646749999997,-80.705472229999998
295,M118,,,,4,32.374028570000000,-80.600247479999993
326,M126,,,,4,32.501375490000001,-80.653604830000006
270,M138,,,,4,32.492143880000000,-80.387297219999994
